"819-60-AFAR-2022sep" "819-600-AFAR-2022sep" "820-60-AFAR-2022sep" "820-600-AFAR-2022sep" "827-60-AFAR-2022sep"
"Seq_1" 5630 31207 30696 58556 5283
"Seq_2" 32532 23551 4583 400 49924
"Seq_3" 11683 7830 4131 695 4676
"Seq_4" 10369 6947 4625 53 5388
"Seq_5" 6279 3023 6210 480 7866
"Seq_6" 2380 842 9804 1269 2078
"Seq_7" 1837 2133 0 0 7093
"Seq_8" 2408 1472 0 50 2012
"Seq_9" 941 908 0 172 2459
"Seq_10" 971 1046 0 147 2301
"Seq_11" 1425 1171 0 0 1457
"Seq_12" 1199 1422 1124 93 37
"Seq_13" 299 152 0 136 2855
"Seq_14" 732 1106 761 0 430
"Seq_15" 838 520 828 0 727
"Seq_16" 473 557 0 0 1418
"Seq_17" 657 661 0 0 267
"Seq_18" 658 225 0 0 604
"Seq_19" 0 0 1282 0 166
"Seq_20" 46 151 1153 0 68
"Seq_21" 1388 0 0 0 0
"Seq_22" 0 145 0 0 988
"Seq_23" 0 160 740 198 0
"Seq_24" 0 0 1037 0 0
"Seq_25" 736 260 0 0 0
"Seq_26" 189 225 0 0 391
"Seq_27" 0 0 754 0 0
"Seq_28" 0 128 0 0 620
"Seq_29" 0 0 738 0 0
"Seq_30" 104 203 0 0 392
"Seq_31" 0 0 678 0 0
"Seq_32" 127 147 0 0 398
"Seq_33" 0 0 568 0 0
"Seq_34" 133 69 0 0 364
"Seq_35" 144 134 0 0 247
"Seq_36" 0 0 0 444 0
"Seq_37" 281 0 0 0 139
"Seq_38" 244 0 0 0 144
"Seq_39" 92 138 0 0 125
"Seq_40" 0 340 0 0 0
"Seq_41" 0 0 0 0 312
"Seq_42" 0 0 0 0 287
"Seq_43" 0 0 0 120 159
"Seq_44" 0 114 0 0 163
"Seq_45" 135 0 0 0 129
"Seq_46" 0 0 0 259 0
"Seq_47" 0 0 0 0 258
"Seq_48" 0 29 0 0 196
"Seq_49" 0 0 0 0 220
"Seq_50" 0 0 209 0 7
"Seq_51" 0 101 0 0 109
"Seq_52" 0 0 0 0 204
"Seq_53" 79 117 0 0 0
"Seq_54" 178 0 0 0 0
"Seq_55" 0 0 173 0 0
"Seq_56" 152 0 0 0 0
"Seq_57" 0 148 0 0 0
"Seq_58" 146 0 0 0 0
"Seq_59" 0 0 0 26 120
"Seq_60" 0 87 0 0 48
"Seq_61" 134 0 0 0 0
"Seq_62" 126 0 0 0 0
"Seq_63" 55 70 0 0 0
"Seq_64" 89 33 0 0 0
"Seq_65" 0 120 0 0 0
"Seq_66" 0 0 0 0 120
"Seq_67" 0 115 0 0 0
"Seq_68" 0 0 0 113 0
"Seq_69" 110 0 0 0 0
"Seq_70" 0 110 0 0 0
"Seq_71" 0 0 0 110 0
"Seq_72" 0 0 0 0 108
"Seq_73" 106 0 0 0 0
"Seq_74" 0 106 0 0 0
"Seq_75" 98 0 0 0 0
"Seq_76" 98 0 0 0 0
"Seq_77" 0 0 0 0 98
"Seq_78" 97 0 0 0 0
"Seq_79" 97 0 0 0 0
"Seq_80" 0 96 0 0 0
"Seq_81" 0 0 0 0 93
"Seq_82" 91 0 0 0 0
"Seq_83" 0 0 0 0 91
"Seq_84" 0 0 0 0 86
"Seq_85" 0 0 0 0 84
"Seq_86" 0 0 0 0 83
"Seq_87" 0 0 0 0 81
"Seq_88" 77 0 0 0 0
"Seq_89" 0 74 0 0 0
"Seq_90" 69 0 0 0 0
"Seq_91" 0 68 0 0 0
"Seq_92" 67 0 0 0 0
"Seq_93" 0 0 0 0 66
"Seq_94" 0 65 0 0 0
"Seq_95" 0 62 0 0 0
"Seq_96" 0 0 0 0 62
"Seq_97" 0 0 0 0 61
"Seq_98" 58 0 0 0 0
"Seq_99" 0 55 0 0 0
"Seq_100" 54 0 0 0 0
"Seq_101" 0 49 0 0 0
"Seq_102" 0 0 0 0 48
"Seq_103" 47 0 0 0 0
"Seq_104" 0 0 0 0 46
"Seq_105" 45 0 0 0 0
"Seq_106" 6 0 0 0 39
"Seq_107" 0 45 0 0 0
"Seq_108" 16 11 6 0 11
"Seq_109" 0 44 0 0 0
"Seq_110" 0 37 0 0 6
"Seq_111" 0 0 0 0 42
"Seq_112" 0 36 0 0 0
"Seq_113" 0 0 0 0 31
"Seq_114" 28 0 0 0 0
"Seq_115" 0 0 0 28 0
"Seq_116" 0 5 0 0 20
"Seq_117" 0 0 0 0 18
"Seq_118" 14 0 0 0 0
"Seq_119" 14 0 0 0 0
"Seq_120" 0 0 0 0 14
"Seq_121" 0 0 0 0 13
"Seq_122" 10 0 0 0 2
"Seq_123" 10 0 0 0 0
"Seq_124" 0 0 0 0 10
"Seq_125" 0 0 0 0 9
"Seq_126" 0 0 0 0 9
"Seq_127" 8 0 0 0 0
"Seq_128" 7 0 0 0 0
"Seq_129" 0 0 0 0 7
"Seq_130" 0 0 0 0 7
"Seq_131" 0 6 0 0 0
"Seq_132" 0 0 0 0 6
"Seq_133" 0 5 0 0 0
"Seq_134" 0 5 0 0 0
"Seq_135" 0 0 0 0 5
"Seq_136" 0 0 4 0 0
"Seq_137" 0 0 0 4 0
"Seq_138" 0 3 0 0 0
"Seq_139" 0 3 0 0 0
"Seq_140" 0 3 0 0 0
"Seq_141" 0 3 0 0 0
"Seq_142" 0 0 3 0 0
"Seq_143" 0 0 0 0 3
"Seq_144" 0 2 0 0 0
"Seq_145" 0 0 0 2 0
"Seq_146" 0 0 1 0 0
"Seq_147" 0 0 1 0 0
"Seq_148" 0 0 0 0 1
