"","taxa"
"Seq_1",NA
"Seq_2",NA
"Seq_3","Brevoortia_tyrannus"
"Seq_4","Alosa_aestivalis"
"Seq_5",NA
"Seq_6",NA
"Seq_7",NA
"Seq_8",NA
"Seq_9",NA
"Seq_10",NA
"Seq_11","Anchoa_mitchilli"
"Seq_12",NA
"Seq_13",NA
"Seq_14","Morone_saxatilis"
"Seq_15",NA
"Seq_16",NA
"Seq_17",NA
"Seq_18","Centropristis_striata"
"Seq_19",NA
"Seq_20",NA
"Seq_21",NA
"Seq_22",NA
"Seq_23",NA
"Seq_24",NA
"Seq_25",NA
"Seq_26","Anguilla_rostrata"
"Seq_27",NA
"Seq_28",NA
"Seq_29",NA
"Seq_30",NA
"Seq_31",NA
"Seq_32",NA
"Seq_33",NA
"Seq_34",NA
"Seq_35",NA
"Seq_36",NA
"Seq_37",NA
"Seq_38",NA
"Seq_39",NA
"Seq_40",NA
"Seq_41",NA
"Seq_42",NA
"Seq_43",NA
"Seq_44","Paralichthys_adspersus"
"Seq_45","Dicentrarchus_labrax"
"Seq_46",NA
"Seq_47",NA
"Seq_48","Lepidopsetta_polyxystra"
"Seq_49","Salmo_salar"
"Seq_50",NA
"Seq_51",NA
"Seq_52",NA
"Seq_53","Acipenser_schrenckii_x_Acipenser_baerii"
"Seq_54",NA
"Seq_55",NA
"Seq_56",NA
"Seq_57",NA
"Seq_58",NA
"Seq_59",NA
"Seq_60",NA
"Seq_61","Morone_americana"
"Seq_62",NA
"Seq_63",NA
"Seq_64","Prionotus_evolans"
"Seq_65",NA
"Seq_66","Oreochromis_grahami"
"Seq_67",NA
"Seq_68",NA
"Seq_69",NA
"Seq_70",NA
"Seq_71",NA
"Seq_72",NA
"Seq_73",NA
"Seq_74",NA
"Seq_75","Oncorhynchus_clarkii"
"Seq_76",NA
"Seq_77",NA
"Seq_78",NA
"Seq_79",NA
"Seq_80",NA
"Seq_81",NA
"Seq_82",NA
"Seq_83",NA
"Seq_84",NA
"Seq_85",NA
"Seq_86","Sprattus_sprattus"
"Seq_87","Poecilia_reticulata"
"Seq_88",NA
"Seq_89",NA
"Seq_90",NA
"Seq_91",NA
"Seq_92",NA
"Seq_93",NA
"Seq_94",NA
"Seq_95",NA
"Seq_96",NA
"Seq_97",NA
"Seq_98",NA
"Seq_99",NA
"Seq_100",NA
"Seq_101",NA
"Seq_102",NA
"Seq_103",NA
"Seq_104","Sphoeroides_nephelus"
"Seq_105",NA
"Seq_106",NA
"Seq_107","Menidia_menidia"
"Seq_108",NA
"Seq_109","Pholis_ornata"
"Seq_110",NA
"Seq_111",NA
"Seq_112","Cyprinus_carpio_'mirror'_x_Cyprinus_carpio_'singuonensis'"
"Seq_113",NA
"Seq_114",NA
"Seq_115",NA
"Seq_116",NA
"Seq_117",NA
"Seq_118",NA
"Seq_119",NA
"Seq_120",NA
"Seq_121",NA
"Seq_122",NA
"Seq_123",NA
"Seq_124",NA
"Seq_125",NA
"Seq_126",NA
"Seq_127",NA
"Seq_128",NA
"Seq_129",NA
"Seq_130",NA
"Seq_131",NA
"Seq_132",NA
"Seq_133",NA
"Seq_134",NA
"Seq_135",NA
"Seq_136",NA
"Seq_137",NA
"Seq_138",NA
"Seq_139",NA
"Seq_140",NA
"Seq_141",NA
"Seq_142",NA
"Seq_143",NA
"Seq_144",NA
"Seq_145",NA
"Seq_146",NA
"Seq_147",NA
"Seq_148",NA
